ISSN;Título;Área de Avaliação;Estrato
0003-2654;ANALYST (LONDON. 1877. PRINT);ASTRONOMIA / FÍSICA                               ;A2
0003-2670;ANALYTICA CHIMICA ACTA (PRINT);BIODIVERSIDADE;A1
0003-2697;ANALYTICAL BIOCHEMISTRY (PRINT);ASTRONOMIA / FÍSICA                               ;B1
0003-2700;ANALYTICAL CHEMISTRY (WASHINGTON);BIODIVERSIDADE;A1
0003-2700;ANALYTICAL CHEMISTRY (WASHINGTON);ASTRONOMIA / FÍSICA                               ;A1
0003-2719;ANALYTICAL LETTERS;ARTES;C 
0003-2999;ANESTHESIA AND ANALGESIA;ASTRONOMIA / FÍSICA                               ;B1
0003-3022;ANESTHESIOLOGY (PHILADELPHIA);ASTRONOMIA / FÍSICA                               ;A2
0003-3219;THE ANGLE ORTHODONTIST;ANTROPOLOGIA / ARQUEOLOGIA                        ;B3
0003-3472;ANIMAL BEHAVIOUR;BIODIVERSIDADE;A1
0003-3804;ANNALEN DER PHYSIK (LEIPZIG);ASTRONOMIA / FÍSICA                               ;A2
0003-4088;ANNALES DE LIMNOLOGIE;BIODIVERSIDADE;B2
0003-4541;ANNALES ZOOLOGICI;BIODIVERSIDADE;B1
0003-455X;ANNALES ZOOLOGICI FENNICI (PRINT);BIODIVERSIDADE;B1
0003-4746;ANNALS OF APPLIED BIOLOGY;BIODIVERSIDADE;B1
0003-4800;ANNALS OF HUMAN GENETICS (PRINT);BIODIVERSIDADE;B2
0003-4819;ANNALS OF INTERNAL MEDICINE;BIODIVERSIDADE;B1
0003-4916;ANNALS OF PHYSICS (PRINT);ASTRONOMIA / FÍSICA                               ;B1
0003-4916;ANNALS OF PHYSICS (NEW YORK);ASTRONOMIA / FÍSICA                               ;B1
0003-5459;ANTHROPOLOGICA;ANTROPOLOGIA / ARQUEOLOGIA                        ;B1
0003-5521;L'ANTHROPOLOGIE (PARIS);ANTROPOLOGIA / ARQUEOLOGIA                        ;A1
0003-5599;ANTI-CORROSION METHODS AND MATERIALS;BIODIVERSIDADE;B3
0003-598X;ANTIQUITY (CAMBRIDGE);BIODIVERSIDADE;B1
0003-598X;ANTIQUITY (CAMBRIDGE);ANTROPOLOGIA / ARQUEOLOGIA                        ;A1
0003-6072;ANTONIE VAN LEEUWENHOEK (GEDRUKT);BIODIVERSIDADE;B2
0003-6072;ANTONIE VAN LEEUWENHOEK (GEDRUKT);ASTRONOMIA / FÍSICA                               ;B2
