ISSN;Título;Área de Avaliação;Estrato
0122-5197;MEMORIA Y SOCIEDAD;ANTROPOLOGIA / ARQUEOLOGIA                        ;B2
0122-7483;UNIVERSITAS SCIENTIARUM: REVISTA DE LA FACULTAD DE CIENCIAS DE LA PONTIFICIA UNIVERSIDAD JAVERIANA;CIÊNCIAS AGRÁRIAS I                               ;B5
0122-7483;UNIVERSITAS SCIENTIARUM: REVISTA DE LA FACULTAD DE CIENCIAS DE LA PONTIFICIA UNIVERSIDAD JAVERIANA;BIOTECNOLOGIA                                     ;B4
0122-7483;UNIVERSITAS SCIENTIARUM: REVISTA DE LA FACULTAD DE CIENCIAS DE LA PONTIFICIA UNIVERSIDAD JAVERIANA;BIODIVERSIDADE;B5
0122-8102;CUADERNOS DE LITERATURA EN CATÁLOGO;COMUNICAÇÃO E INFORMAÇÃO;B2
0122-8102;CUADERNOS DE LITERATURA EN CATÁLOGO;ARTES;B3
0122-8285;PALABRA CLAVE;COMUNICAÇÃO E INFORMAÇÃO;A2
0122-9761;BOLETIN DE INVESTIGACIONES MARINAS Y COSTERAS;CIÊNCIAS BIOLÓGICAS III                           ;C 
0122-9761;BOLETIN DE INVESTIGACIONES MARINAS Y COSTERAS;BIODIVERSIDADE;B5
0122-9893;REVISTA DERECHO DEL ESTADO;DIREITO                                           ;B3
0123-1022;FOLIOS;COMUNICAÇÃO E INFORMAÇÃO;B1
0123-1472;CUADERNOS DE CONTABILIDAD;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;B1
0123-2479;REVISTA DEL INSTITUTO COLOMBIANO DE DERECHO PROCESAL;DIREITO                                           ;B2
0123-3475;REVISTA COLOMBIANA DE BIOTECNOLOGÍA;CIÊNCIAS AMBIENTAIS;B1
0123-4226;UDCA REVISTA: ACTUALIDAD Y DIVULGACION CIENTIFICA;CIÊNCIAS AGRÁRIAS I                               ;B4
0123-4366;REVISTA DE DERECHO PRIVADO (BOGOTA, 1998);DIREITO                                           ;B2
0123-4471;REVISTA DE ANTROPOLOGIA Y SOCIOLOGIA DE LA UNIVERSIDAD DE CALDAS;ANTROPOLOGIA / ARQUEOLOGIA                        ;B2
0123-4986;REVISTA DEL DEPARTAMENTO DE TRABAJO SOCIAL;DIREITO                                           ;C 
0123-5923;ESTUDIOS GERENCIALES;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;B1
0123-7799;TECNO LÓGICAS - IT COLOMBIANO;CIÊNCIAS AGRÁRIAS I                               ;B5
0123-8418;TERRITORIOS - REVISTA DE ESTUDIOS REGIONALES Y URBANOS;CIÊNCIAS AMBIENTAIS;B4
0123-8418;TERRITORIOS;CIÊNCIAS AMBIENTAIS;B4
0123-8418;TERRITORIOS - REVISTA DE ESTUDIOS REGIONALES Y URBANOS;ARQUITETURA, URBANISMO E DESIGN;A2
0123-8418;TERRITORIOS;ARQUITETURA, URBANISMO E DESIGN;A2
0123-885X;REVISTA DE ESTUDIOS SOCIALES (EN LINEA);CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ;A2
0123-8884;AFFECTIO SOCIETATIS;BIOTECNOLOGIA                                     ;B5
0123-9392;INFECTIO;BIOTECNOLOGIA                                     ;B4
0124-0064;REVISTA DE SALUD PÚBLICA;DIREITO                                           ;B1
0124-0064;REVISTA DE SALUD PUBLICA;CIÊNCIAS BIOLÓGICAS III                           ;C 
0124-0781;REFLEXION POLITICA;DIREITO                                           ;B2
0124-5376;BIOTA COLOMBIANA;BIODIVERSIDADE;C 
0124-5376;BIOTA COLOMBIA;BIODIVERSIDADE;C 
0124-5481;REVISTA DE EDUCACION DE LAS CIENCIAS;CIÊNCIAS AMBIENTAIS;B1
0124-5481;REVISTA DE EDUCACION DE LAS CIENCIAS;BIOTECNOLOGIA                                     ;B4
0124-5481;REVISTA DE EDUCACION DE LAS CIENCIAS;BIODIVERSIDADE;B5
0124-6127;DISCUSIONES FILOSOFICAS;DIREITO                                           ;B3
0124-7255;DIXI - JOURNAL OF LEGAL STUDIES;DIREITO                                           ;B5
0124-7913;BITACORA URBANO TERRITORIAL;CIÊNCIAS AGRÁRIAS I                               ;B2
0124-7913;BITACORA URBANO TERRITORIAL;ARQUITETURA, URBANISMO E DESIGN;A2
0125-1562;SOUTHEAST ASIAN JOURNAL OF TROPICAL MEDICINE AND PUBLIC HEALTH;CIÊNCIAS AMBIENTAIS;B1
0125-6726;BUFFALO BULLETIN;CIÊNCIAS BIOLÓGICAS II                            ;B5
0125-6726;BUFFALO BULLETIN;CIÊNCIAS AMBIENTAIS;B2
0125-6726;BUFFALO BULLETIN;CIÊNCIAS AGRÁRIAS I                               ;B2
0125-6726;BUFFALO BULLETIN;BIOTECNOLOGIA                                     ;B4
0125-6726;BUFFALO BULLETIN;BIODIVERSIDADE;B5
0127-5720;TROPICAL BIOMEDICINE;CIÊNCIAS BIOLÓGICAS III                           ;B4
0127-5720;TROPICAL BIOMEDICINE;CIÊNCIAS BIOLÓGICAS II                            ;B5
0127-5720;TROPICAL BIOMEDICINE;CIÊNCIAS BIOLÓGICAS I                             ;B5
0128-1283;JOURNAL OF TROPICAL FOREST SCIENCE;CIÊNCIAS AGRÁRIAS I                               ;B1
0128-1283;JOURNAL OF TROPICAL FOREST SCIENCE;CIÊNCIA DE ALIMENTOS                              ;B5
0128-1283;JOURNAL OF TROPICAL FOREST SCIENCE;BIODIVERSIDADE;B2
0128-1283;JOURNAL OF TROPICAL FOREST SCIENCE;ASTRONOMIA / FÍSICA                               ;B5
0129-055X;REVIEWS IN MATHEMATICAL PHYSICS;ASTRONOMIA / FÍSICA                               ;B3
0129-0657;INTERNATIONAL JOURNAL OF NEURAL SYSTEMS;CIÊNCIAS BIOLÓGICAS I                             ;A1
0129-0657;INTERNATIONAL JOURNAL OF NEURAL SYSTEMS;CIÊNCIA DA COMPUTAÇÃO                             ;A1
0129-0657;INTERNATIONAL JOURNAL OF NEURAL SYSTEMS;ASTRONOMIA / FÍSICA                               ;A2
0129-1831;INTERNATIONAL JOURNAL OF MODERN PHYSICS C;CIÊNCIAS AMBIENTAIS;B1
0129-1831;INTERNATIONAL JOURNAL OF MODERN PHYSICS C;CIÊNCIA DA COMPUTAÇÃO                             ;B3
0129-1831;INTERNATIONAL JOURNAL OF MODERN PHYSICS C;ASTRONOMIA / FÍSICA                               ;B3
0129-1831;INTERNATIONAL JOURNAL OF MODERN PHYSICS C;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0131-1379;ARCTOA;BIODIVERSIDADE;C 
0132-8077;ACARINA: RUSSIAN JOURNAL OF ACAROLOGY;BIODIVERSIDADE;B2
0133-3720;CEREAL RESEARCH COMMUNICATIONS;CIÊNCIAS AGRÁRIAS I                               ;B2
0137-1339;MATERIALS SCIENCE;ASTRONOMIA / FÍSICA                               ;C 
0137-1592;ACTA ICHTHYOLOGICA ET PISCATORIA;CIÊNCIAS AMBIENTAIS;B1
0137-1592;ACTA ICHTHYOLOGICA ET PISCATORIA;BIODIVERSIDADE;B2
0137-5075;ARCHIVES OF ACOUSTICS;BIOTECNOLOGIA                                     ;B3
0137-5881;ACTA PHYSIOLOGIAE PLANTARUM;CIÊNCIAS BIOLÓGICAS II                            ;B3
0137-5881;ACTA PHYSIOLOGIAE PLANTARUM;CIÊNCIAS BIOLÓGICAS I                             ;B3
0137-5881;ACTA PHYSIOLOGIAE PLANTARUM;CIÊNCIAS AMBIENTAIS;A2
0137-5881;ACTA PHYSIOLOGIAE PLANTARUM;CIÊNCIAS AGRÁRIAS I                               ;B1
0137-5881;ACTA PHYSIOLOGIAE PLANTARUM;CIÊNCIA DE ALIMENTOS                              ;B3
0137-5881;ACTA PHYSIOLOGIAE PLANTARUM;BIOTECNOLOGIA                                     ;B2
0137-5881;ACTA PHYSIOLOGIAE PLANTARUM;BIODIVERSIDADE;B1
0138-0338;POLISH POLAR RESEARCH;BIODIVERSIDADE;B2
0138-9130;SCIENTOMETRICS (PRINT);COMUNICAÇÃO E INFORMAÇÃO;A1
0138-9130;SCIENTOMETRICS (PRINT);CIÊNCIAS BIOLÓGICAS II                            ;B2
0138-9130;SCIENTOMETRICS (PRINT);CIÊNCIAS BIOLÓGICAS I                             ;B2
0138-9130;SCIENTOMETRICS (PRINT);CIÊNCIAS AMBIENTAIS;A2
0138-9130;SCIENTOMETRICS (PRINT);CIÊNCIAS AGRÁRIAS I                               ;A2
0138-9130;SCIENTOMETRICS (PRINT);CIÊNCIA DA COMPUTAÇÃO                             ;A1
0138-9130;SCIENTOMETRICS (PRINT);BIOTECNOLOGIA                                     ;B1
0138-9130;SCIENTOMETRICS (PRINT);BIODIVERSIDADE;B1
0138-9130;SCIENTOMETRICS (PRINT);ASTRONOMIA / FÍSICA                               ;B2
0138-9130;SCIENTOMETRICS (PRINT);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0139-3006;ACTA ALIMENTARIA: AN INTERNATIONAL JOURNAL OF FOOD SCIENCE;CIÊNCIAS AGRÁRIAS I                               ;B2
0139-3006;ACTA ALIMENTARIA (PRINT);CIÊNCIAS AGRÁRIAS I                               ;B2
0139-3006;ACTA ALIMENTARIA: AN INTERNATIONAL JOURNAL OF FOOD SCIENCE;CIÊNCIA DE ALIMENTOS                              ;B2
0139-3006;ACTA ALIMENTARIA: AN INTERNATIONAL JOURNAL OF FOOD SCIENCE;BIOTECNOLOGIA                                     ;B4
0139-3006;ACTA ALIMENTARIA (PRINT);BIOTECNOLOGIA                                     ;B4
0139-3006;ACTA ALIMENTARIA (PRINT);BIODIVERSIDADE;B4
0140-0118;MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING;CIÊNCIAS BIOLÓGICAS II                            ;B2
0140-0118;MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING;CIÊNCIA DA COMPUTAÇÃO                             ;B3
0140-0118;MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING;BIOTECNOLOGIA                                     ;B1
0140-0118;MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING;BIODIVERSIDADE;B2
0140-1963;JOURNAL OF ARID ENVIRONMENTS;CIÊNCIAS BIOLÓGICAS I                             ;B3
0140-1963;JOURNAL OF ARID ENVIRONMENTS;CIÊNCIAS AMBIENTAIS;A2
0140-1963;JOURNAL OF ARID ENVIRONMENTS;CIÊNCIAS AGRÁRIAS I                               ;B1
0140-1963;JOURNAL OF ARID ENVIRONMENTS;CIÊNCIA DA COMPUTAÇÃO                             ;B4
0140-1963;JOURNAL OF ARID ENVIRONMENTS;BIODIVERSIDADE;A2
0140-2390;JOURNAL OF STRATEGIC STUDIES;CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ;A1
0140-3664;COMPUTER COMMUNICATIONS;CIÊNCIAS BIOLÓGICAS I                             ;B2
0140-3664;COMPUTER COMMUNICATIONS;CIÊNCIAS AMBIENTAIS;B2
0140-3664;COMPUTER COMMUNICATIONS;CIÊNCIA DA COMPUTAÇÃO                             ;A2
0140-525X;BEHAVIORAL AND BRAIN SCIENCES (PRINT);CIÊNCIAS BIOLÓGICAS II                            ;A1
0140-6736;LANCET (BRITISH EDITION);CIÊNCIAS BIOLÓGICAS III                           ;A1
0140-6736;LANCET (BRITISH EDITION);CIÊNCIAS BIOLÓGICAS II                            ;A1
0140-6736;LANCET (BRITISH EDITION);CIÊNCIAS BIOLÓGICAS I                             ;A1
0140-6736;LANCET (BRITISH EDITION);CIÊNCIAS AMBIENTAIS;A1
0140-6736;LANCET (BRITISH EDITION);CIÊNCIAS AGRÁRIAS I                               ;A1
0140-6736;LANCET (BRITISH EDITION);CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ;A1
0140-6736;LANCET (BRITISH EDITION);BIOTECNOLOGIA                                     ;A1
0140-7007;INTERNATIONAL JOURNAL OF REFRIGERATION;ASTRONOMIA / FÍSICA                               ;B2
0140-7775;JOURNAL OF FISH DISEASES (PRINT);CIÊNCIAS BIOLÓGICAS III                           ;B2
0140-7775;JOURNAL OF FISH DISEASES (PRINT);CIÊNCIAS BIOLÓGICAS I                             ;B2
0140-7775;JOURNAL OF FISH DISEASES (PRINT);CIÊNCIAS AMBIENTAIS;A2
0140-7775;JOURNAL OF FISH DISEASES (PRINT);CIÊNCIAS AGRÁRIAS I                               ;A2
0140-7775;JOURNAL OF FISH DISEASES (PRINT);BIODIVERSIDADE;A2
0140-7783;JOURNAL OF VETERINARY PHARMACOLOGY AND THERAPEUTICS (PRINT);CIÊNCIAS AGRÁRIAS I                               ;B2
0140-7783;JOURNAL OF VETERINARY PHARMACOLOGY AND THERAPEUTICS (PRINT);CIÊNCIA DE ALIMENTOS                              ;B5
0140-7791;PLANT, CELL AND ENVIRONMENT (PRINT);CIÊNCIAS BIOLÓGICAS II                            ;A1
0140-7791;PLANT, CELL AND ENVIRONMENT (PRINT);CIÊNCIAS BIOLÓGICAS I                             ;A1
0140-7791;PLANT, CELL AND ENVIRONMENT (PRINT);CIÊNCIAS AMBIENTAIS;A1
0140-7791;PLANT, CELL AND ENVIRONMENT (PRINT);CIÊNCIAS AGRÁRIAS I                               ;A1
0140-7791;PLANT, CELL AND ENVIRONMENT (PRINT);BIODIVERSIDADE;A1
0140-9883;ENERGY ECONOMICS;CIÊNCIAS AGRÁRIAS I                               ;A1
0140-9883;ENERGY ECONOMICS;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0141-0229;ENZYME AND MICROBIAL TECHNOLOGY;CIÊNCIAS BIOLÓGICAS III                           ;B1
0141-0229;ENZYME AND MICROBIAL TECHNOLOGY;CIÊNCIAS BIOLÓGICAS II                            ;B1
0141-0229;ENZYME AND MICROBIAL TECHNOLOGY;CIÊNCIAS BIOLÓGICAS I                             ;B1
0141-0229;ENZYME AND MICROBIAL TECHNOLOGY;CIÊNCIAS AMBIENTAIS;A1
0141-0229;ENZYME AND MICROBIAL TECHNOLOGY;CIÊNCIA DE ALIMENTOS                              ;A1
0141-0229;ENZYME AND MICROBIAL TECHNOLOGY;BIOTECNOLOGIA                                     ;B1
0141-0229;ENZYME AND MICROBIAL TECHNOLOGY;ASTRONOMIA / FÍSICA                               ;B2
0141-0296;ENGINEERING STRUCTURES;CIÊNCIAS AGRÁRIAS I                               ;A2
0141-0768;JOURNAL OF THE ROYAL SOCIETY OF MEDICINE;CIÊNCIAS AMBIENTAIS;B2
0141-1136;MARINE ENVIRONMENTAL RESEARCH;CIÊNCIAS BIOLÓGICAS II                            ;B1
0141-1136;MARINE ENVIRONMENTAL RESEARCH;CIÊNCIAS BIOLÓGICAS I                             ;B1
0141-1136;MARINE ENVIRONMENTAL RESEARCH;CIÊNCIAS AMBIENTAIS;A1
0141-1136;MARINE ENVIRONMENTAL RESEARCH;CIÊNCIAS AGRÁRIAS I                               ;A2
0141-1136;MARINE ENVIRONMENTAL RESEARCH;BIOTECNOLOGIA                                     ;B1
0141-1136;MARINE ENVIRONMENTAL RESEARCH;BIODIVERSIDADE;A2
0141-1136;MARINE ENVIRONMENTAL RESEARCH;ANTROPOLOGIA / ARQUEOLOGIA                        ;C 
0141-3910;POLYMER DEGRADATION AND STABILITY;CIÊNCIAS BIOLÓGICAS II                            ;B1
0141-3910;POLYMER DEGRADATION AND STABILITY;CIÊNCIAS BIOLÓGICAS I                             ;B1
0141-3910;POLYMER DEGRADATION AND STABILITY;CIÊNCIAS AMBIENTAIS;A1
0141-3910;POLYMER DEGRADATION AND STABILITY;BIOTECNOLOGIA                                     ;A2
0141-3910;POLYMER DEGRADATION AND STABILITY;ASTRONOMIA / FÍSICA                               ;B1
0141-5492;BIOTECHNOLOGY LETTERS;CIÊNCIAS BIOLÓGICAS III                           ;B3
0141-5492;BIOTECHNOLOGY LETTERS;CIÊNCIAS BIOLÓGICAS II                            ;B2
0141-5492;BIOTECHNOLOGY LETTERS;CIÊNCIAS BIOLÓGICAS I                             ;B3
0141-5492;BIOTECHNOLOGY LETTERS;CIÊNCIAS AMBIENTAIS;A2
0141-5492;BIOTECHNOLOGY LETTERS;CIÊNCIA DE ALIMENTOS                              ;A2
0141-5492;BIOTECHNOLOGY LETTERS;BIOTECNOLOGIA                                     ;B2
0141-5492;BIOTECHNOLOGY LETTERS;BIODIVERSIDADE;B2
0141-5492;BIOTECHNOLOGY LETTERS;ASTRONOMIA / FÍSICA                               ;B3
0141-6200;BRITISH JOURNAL OF RELIGIOUS EDUCATION;CIÊNCIAS DA RELIGIÃO E TEOLOGIA;A1
0141-6707;AFRICAN JOURNAL OF ECOLOGY;CIÊNCIAS AMBIENTAIS;B1
0141-6707;AFRICAN JOURNAL OF ECOLOGY;BIODIVERSIDADE;B2
0141-8130;INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES;CIÊNCIAS BIOLÓGICAS III                           ;B1
0141-8130;INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES;CIÊNCIAS BIOLÓGICAS II                            ;B1
0141-8130;INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES;CIÊNCIAS BIOLÓGICAS I                             ;B1
0141-8130;INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES;CIÊNCIAS AMBIENTAIS;B2
0141-8130;INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES;CIÊNCIAS AGRÁRIAS I                               ;B1
0141-8130;INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES;CIÊNCIA DE ALIMENTOS                              ;A1
0141-8130;INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES;BIOTECNOLOGIA                                     ;A2
0141-8130;INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES;BIODIVERSIDADE;B1
0141-8130;INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES;ASTRONOMIA / FÍSICA                               ;B1
0141-8955;JOURNAL OF INHERITED METABOLIC DISEASE;CIÊNCIAS BIOLÓGICAS II                            ;A2
0141-8955;JOURNAL OF INHERITED METABOLIC DISEASE;CIÊNCIAS BIOLÓGICAS I                             ;A2
0141-9331;MICROPROCESSORS AND MICROSYSTEMS;CIÊNCIA DA COMPUTAÇÃO                             ;B1
0141-9838;PARASITE IMMUNOLOGY (PRINT);CIÊNCIAS BIOLÓGICAS III                           ;B2
0141-9838;PARASITE IMMUNOL.;CIÊNCIAS BIOLÓGICAS III                           ;B2
0141-9838;PARASITE IMMUNOLOGY (PRINT);CIÊNCIAS BIOLÓGICAS II                            ;B2
0141-9838;PARASITE IMMUNOL.;CIÊNCIAS BIOLÓGICAS II                            ;B2
0141-9838;PARASITE IMMUNOLOGY (PRINT);CIÊNCIAS BIOLÓGICAS I                             ;B2
0141-9838;PARASITE IMMUNOLOGY (PRINT);CIÊNCIAS AGRÁRIAS I                               ;B1
0141-9838;PARASITE IMMUNOLOGY (PRINT);BIOTECNOLOGIA                                     ;B1
0142-0615;INTERNATIONAL JOURNAL OF ELECTRICAL POWER & ENERGY SYSTEMS;CIÊNCIAS AMBIENTAIS;A2
0142-0615;INTERNATIONAL JOURNAL OF ELECTRICAL POWER & ENERGY SYSTEMS;CIÊNCIA DA COMPUTAÇÃO                             ;B2
0142-0843;NEWS OF KARAGANDA STATE UNIVERSITY - LAW SERIES;DIREITO                                           ;C 
0142-1123;INTERNATIONAL JOURNAL OF FATIGUE;ARQUITETURA, URBANISMO E DESIGN;A1
0142-2421;SURFACE AND INTERFACE ANALYSIS (PRINT);CIÊNCIAS BIOLÓGICAS I                             ;B4
0142-2421;SURFACE AND INTERFACE ANALYSIS (PRINT);BIOTECNOLOGIA                                     ;B3
0142-2421;SURFACE AND INTERFACE ANALYSIS (PRINT);ASTRONOMIA / FÍSICA                               ;B3
0142-2421;SURFACE AND INTERFACE ANALYSIS;ASTRONOMIA / FÍSICA                               ;B3
0142-5242;GRASS AND FORAGE SCIENCE (PRINT);CIÊNCIAS AMBIENTAIS;A2
0142-5242;GRASS AND FORAGE SCIENCE (PRINT);CIÊNCIAS AGRÁRIAS I                               ;A2
0142-5242;GRASS AND FORAGE SCIENCE (PRINT);CIÊNCIA DE ALIMENTOS                              ;B4
0142-5242;GRASS AND FORAGE SCIENCE (PRINT);BIODIVERSIDADE;B1
0142-5463;INTERNATIONAL JOURNAL OF COSMETIC SCIENCE (PRINT);CIÊNCIAS BIOLÓGICAS II                            ;B3
0142-5463;INTERNATIONAL JOURNAL OF COSMETIC SCIENCE (PRINT);BIOTECNOLOGIA                                     ;B2
0142-5471;INFORMATION DESIGN JOURNAL;ARQUITETURA, URBANISMO E DESIGN;B5
0142-6338;JOURNAL OF TROPICAL PEDIATRICS (1980);CIÊNCIAS BIOLÓGICAS III                           ;B4
0142-6397;LANDSCAPE RESEARCH;BIOTECNOLOGIA                                     ;B3
0142-6397;LANDSCAPE RESEARCH;BIODIVERSIDADE;B2
0142-7873;JOURNAL OF PLANKTON RESEARCH;CIÊNCIAS BIOLÓGICAS I                             ;B2
0142-7873;JOURNAL OF PLANKTON RESEARCH;CIÊNCIAS AMBIENTAIS;A2
0142-7873;JOURNAL OF PLANKTON RESEARCH;CIÊNCIAS AGRÁRIAS I                               ;A2
0142-7873;JOURNAL OF PLANKTON RESEARCH;BIODIVERSIDADE;A2
0142-9418;POLYMER TESTING;CIÊNCIAS AMBIENTAIS;A2
0142-9418;POLYMER TESTING;CIÊNCIA DE ALIMENTOS                              ;B3
0142-9418;POLYMER TESTING;BIOTECNOLOGIA                                     ;B1
0142-9418;POLYMER TESTING;ASTRONOMIA / FÍSICA                               ;B2
0142-9612;BIOMATERIALS (GUILDFORD);CIÊNCIAS BIOLÓGICAS II                            ;A1
0143-005X;JOURNAL OF EPIDEMIOLOGY AND COMMUNITY HEALTH;CIÊNCIAS BIOLÓGICAS II                            ;A2
0143-005X;JOURNAL OF EPIDEMIOLOGY AND COMMUNITY HEALTH (1979);CIÊNCIAS AMBIENTAIS;A1
0143-0807;EUROPEAN JOURNAL OF PHYSICS (PRINT);ASTRONOMIA / FÍSICA                               ;B4
0143-1161;INTERNATIONAL JOURNAL OF REMOTE SENSING (PRINT);CIÊNCIAS AMBIENTAIS;A2
0143-1161;INTERNATIONAL JOURNAL OF REMOTE SENSING (PRINT);CIÊNCIAS AGRÁRIAS I                               ;A2
0143-1161;INTERNATIONAL JOURNAL OF REMOTE SENSING (PRINT);CIÊNCIA DA COMPUTAÇÃO                             ;B3
0143-1161;INTERNATIONAL JOURNAL OF REMOTE SENSING (PRINT);BIODIVERSIDADE;B1
0143-1161;INTERNATIONAL JOURNAL OF REMOTE SENSING (PRINT);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0143-2044;CRYO-LETTERS;CIÊNCIAS BIOLÓGICAS II                            ;B5
0143-2044;CRYO-LETTERS;CIÊNCIAS AMBIENTAIS;B1
0143-2044;CRYO-LETTERS;CIÊNCIAS AGRÁRIAS I                               ;B2
0143-2044;CRYO-LETTERS;CIÊNCIA DE ALIMENTOS                              ;B5
0143-2044;CRYO-LETTERS;BIOTECNOLOGIA                                     ;B3
0143-2044;CRYO-LETTERS;BIODIVERSIDADE;B3
0143-2095;STRATEGIC MANAGEMENT JOURNAL (PRINT);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0143-2885;INTERNATIONAL ENDODONTIC JOURNAL (PRINT);CIÊNCIAS BIOLÓGICAS III                           ;B1
0143-2885;INTERNATIONAL ENDODONTIC JOURNAL (PRINT);CIÊNCIAS BIOLÓGICAS II                            ;B1
0143-2885;INTERNATIONAL ENDODONTIC JOURNAL (PRINT);CIÊNCIAS BIOLÓGICAS I                             ;B1
0143-2885;INTERNATIONAL ENDODONTIC JOURNAL (PRINT);BIOTECNOLOGIA                                     ;B1
0143-2885;INTERNATIONAL ENDODONTIC JOURNAL (PRINT);ASTRONOMIA / FÍSICA                               ;B2
0143-2885;INTERNATIONAL ENDODONTIC JOURNAL (PRINT);ANTROPOLOGIA / ARQUEOLOGIA                        ;B3
0143-3334;CARCINOGENESIS (NEW YORK. PRINT);CIÊNCIAS BIOLÓGICAS III                           ;A2
0143-3334;CARCINOGENESIS (NEW YORK. PRINT);CIÊNCIAS BIOLÓGICAS II                            ;A1
0143-3334;CARCINOGENESIS (NEW YORK. PRINT);CIÊNCIAS BIOLÓGICAS I                             ;A2
0143-3334;CARCINOGENESIS (NEW YORK. PRINT);CIÊNCIA DE ALIMENTOS                              ;B3
0143-3334;CARCINOGENESIS (NEW YORK. PRINT);BIOTECNOLOGIA                                     ;A1
0143-3636;NUCLEAR MEDICINE COMMUNICATIONS;CIÊNCIAS BIOLÓGICAS II                            ;B3
0143-3636;NUCLEAR MEDICINE COMMUNICATIONS;CIÊNCIA DE ALIMENTOS                              ;B4
0143-3636;NUCLEAR MEDICINE COMMUNICATIONS;BIOTECNOLOGIA                                     ;B2
0143-4004;PLACENTA (EASTBOURNE);CIÊNCIAS BIOLÓGICAS III                           ;B1
0143-4004;PLACENTA (EASTBOURNE);CIÊNCIAS BIOLÓGICAS II                            ;B1
0143-4004;PLACENTA (EASTBOURNE);CIÊNCIAS BIOLÓGICAS I                             ;B1
0143-4004;PLACENTA (EASTBOURNE);BIOTECNOLOGIA                                     ;A2
0143-4160;CELL CALCIUM (EDINBURGH);CIÊNCIAS BIOLÓGICAS II                            ;B1
0143-4179;NEUROPEPTIDES (EDINBURGH);CIÊNCIAS BIOLÓGICAS II                            ;B1
0143-4179;NEUROPEPTIDES (EDINBURGH);CIÊNCIAS BIOLÓGICAS I                             ;B1
0143-4179;NEUROPEPTIDES (EDINBURGH);BIOTECNOLOGIA                                     ;B1
0143-5221;CLINICAL SCIENCE (1979);CIÊNCIAS BIOLÓGICAS III                           ;A1
0143-5221;CLINICAL SCIENCE (1979);CIÊNCIAS BIOLÓGICAS II                            ;A1
0143-5221;CLINICAL SCIENCE (1979);CIÊNCIAS BIOLÓGICAS I                             ;A1
0143-5221;CLINICAL SCIENCE (1979);BIOTECNOLOGIA                                     ;A1
0143-5221;CLINICAL SCIENCE (1979);BIODIVERSIDADE;B1
0143-6228;APPLIED GEOGRAPHY (SEVENOAKS);CIÊNCIAS AMBIENTAIS;A1
0143-6228;APPLIED GEOGRAPHY (SEVENOAKS);CIÊNCIAS AGRÁRIAS I                               ;A2
0143-6228;APPLIED GEOGRAPHY (SEVENOAKS);BIODIVERSIDADE;B1
0143-6244;BUILDING SERVICES ENGINEERING RESEARCH & TECHNOLOGY;ARQUITETURA, URBANISMO E DESIGN;A2
0143-6597;THIRD WORLD QUARTERLY (PRINT);CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ;A1
0143-6597;THIRD WORLD QUARTERLY (PRINT);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0143-7208;DYES AND PIGMENTS;CIÊNCIAS BIOLÓGICAS II                            ;A2
0143-7208;DYES AND PIGMENTS;BIOTECNOLOGIA                                     ;A1
0143-7208;DYES AND PIGMENTS;BIODIVERSIDADE;A2
0143-7208;DYES AND PIGMENTS;ASTRONOMIA / FÍSICA                               ;B1
0143-7496;INTERNATIONAL JOURNAL OF ADHESION AND ADHESIVES;CIÊNCIAS BIOLÓGICAS II                            ;B2
0143-7496;INTERNATIONAL JOURNAL OF ADHESION AND ADHESIVES;CIÊNCIAS AGRÁRIAS I                               ;A2
