ISSN;Título;Área de Avaliação;Estrato
0009-8558;CLAY MINERALS (PRINT);ANTROPOLOGIA / ARQUEOLOGIA                        ;B3
0010-4140;COMPARATIVE POLITICAL STUDIES;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0010-4175;COMPARATIVE STUDIES IN SOCIETY AND HISTORY (PRINT);ANTROPOLOGIA / ARQUEOLOGIA                        ;A2
0010-7212;CONTADURÍA Y ADMINISTRACIÓN;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;B1
0010-8812;CORNELL INTERNATIONAL LAW JOURNAL;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0011-2356;CUADERNOS AMERICANOS;ANTROPOLOGIA / ARQUEOLOGIA                        ;B2
0011-3204;CURRENT ANTHROPOLOGY;ANTROPOLOGIA / ARQUEOLOGIA                        ;A1
0011-5258;DADOS (RIO DE JANEIRO. IMPRESSO);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0012-7353;DYNA (MEDELLÍN);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;B2
0014-2182;ETUDES RURALES;ANTROPOLOGIA / ARQUEOLOGIA                        ;B2
0014-2182;ETUDES RURALES;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;B1
0014-2751;EUROPE (PARIS. 1923);ANTROPOLOGIA / ARQUEOLOGIA                        ;B2
0015-3826;FLORESTA (UFPR. IMPRESSO);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;B1
0015-7228;FOREIGN POLICY;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0016-0032;JOURNAL OF THE FRANKLIN INSTITUTE;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0016-3287;FUTURES (LONDON);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0016-6707;GENETICA ('S-GRAVENHAGE);ANTROPOLOGIA / ARQUEOLOGIA                        ;B1
0016-7061;GEODERMA (AMSTERDAM);ANTROPOLOGIA / ARQUEOLOGIA                        ;B2
0016-7363;GEOGRAPHICAL ANALYSIS;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0017-8012;HARVARD BUSINESS REVIEW;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0018-084X;HERPETOLOGICAL REVIEW;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0018-1560;HIGHER EDUCATION (AMSTERDAM);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0018-442X;HOMO (STUTTGART);ANTROPOLOGIA / ARQUEOLOGIA                        ;B2
0018-5043;HORMONE AND METABOLIC RESEARCH;ANTROPOLOGIA / ARQUEOLOGIA                        ;B3
0018-5345;HORTSCIENCE;ANTROPOLOGIA / ARQUEOLOGIA                        ;B2
0018-7267;HUMAN RELATIONS (NEW YORK);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0018-7615;HUMBOLDT (SPANISCHE AUSG.);ANTROPOLOGIA / ARQUEOLOGIA                        ;B1
0018-8158;HYDROBIOLOGIA (THE HAGUE. PRINT);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0018-9499;IEEE TRANSACTIONS ON NUCLEAR SCIENCE;ANTROPOLOGIA / ARQUEOLOGIA                        ;B1
0019-7858;INDUSTRIAL AND COMMERCIAL TRAINING;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0019-8501;INDUSTRIAL MARKETING MANAGEMENT;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0020-0255;INFORMATION SCIENCES;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0020-5850;INTERNATIONAL AFFAIRS (LONDON. 1944. PRINT);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0020-7063;THE INTERNATIONAL JOURNAL OF ACCOUNTING;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0020-7128;INTERNATIONAL JOURNAL OF BIOMETEOROLOGY (PRINT);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0020-7225;INTERNATIONAL JOURNAL OF ENGINEERING SCIENCE;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0020-7233;INTERNATIONAL JOURNAL OF ENVIRONMENTAL STUDIES;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0020-7543;INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH (PRINT);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0020-7594;INTERNATIONAL JOURNAL OF PSYCHOLOGY (PRINT);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0020-8523;INTERNATIONAL REVIEW OF ADMINISTRATIVE SCIENCES;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0021-3624;JOURNAL OF ECONOMIC ISSUES;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0021-857X;JOURNAL OF AGRICULTURAL ECONOMICS;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0021-9150;ATHEROSCLEROSIS (AMSTERDAM);ANTROPOLOGIA / ARQUEOLOGIA                        ;B1
0021-9630;JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY AND ALLIED DISCIPLINES (PRINT);ANTROPOLOGIA / ARQUEOLOGIA                        ;B1
0022-0221;JOURNAL OF CROSS-CULTURAL PSYCHOLOGY;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0022-0302;JOURNAL OF DAIRY SCIENCE;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0022-0345;JOURNAL OF DENTAL RESEARCH;ANTROPOLOGIA / ARQUEOLOGIA                        ;B1
0022-1155;JOURNAL OF FOOD SCIENCE AND TECHNOLOGY;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0022-216X;JOURNAL OF LATIN AMERICAN STUDIES;ANTROPOLOGIA / ARQUEOLOGIA                        ;A2
0022-216X;JOURNAL OF LATIN AMERICAN STUDIES (PRINT);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0022-216X;JOURNAL OF LATIN AMERICAN STUDIES;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0022-2380;JOURNAL OF MANAGEMENT STUDIES (OXFORD. PRINT);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0022-2429;JOURNAL OF MARKETING;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0022-3514;JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0022-3808;JOURNAL OF POLITICAL ECONOMY;ANTROPOLOGIA / ARQUEOLOGIA                        ;B3
0022-3816;THE JOURNAL OF POLITICS;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0022-3913;THE JOURNAL OF PROSTHETIC DENTISTRY (PRINT);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0022-4359;JOURNAL OF RETAILING;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0022-5002;JOURNAL OF THE EXPERIMENTAL ANALYSIS OF BEHAVIOR;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0022-5142;JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0023-1584;KINETICS AND CATALYSIS;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;B1
0023-6438;LEBENSMITTEL-WISSENSCHAFT + TECHNOLOGIE / FOOD SCIENCE + TECHNOLOGY;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0023-8791;LATIN AMERICAN RESEARCH REVIEW;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0024-2667;LIBRI (COPENHAGEN);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0024-6301;LONG RANGE PLANNING;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0025-1747;MANAGEMENT DECISION;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0025-1909;MANAGEMENT SCIENCE;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0025-326X;MARINE POLLUTION BULLETIN.;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0025-5327;MATERIALS EVALUATION;ANTROPOLOGIA / ARQUEOLOGIA                        ;B2
0025-5564;MATHEMATICAL BIOSCIENCES;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0025-7974;MEDICINE (BALTIMORE, MD.);ANTROPOLOGIA / ARQUEOLOGIA                        ;B2
0026-0495;METABOLISM, CLINICAL AND EXPERIMENTAL (PRINT);ANTROPOLOGIA / ARQUEOLOGIA                        ;B2
0026-1386;METROECONOMICA (TESTO STAMPATO);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;B1
0026-265X;MICROCHEMICAL JOURNAL (PRINT);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0027-8424;PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA;ANTROPOLOGIA / ARQUEOLOGIA                        ;A2
0027-9013;NATIONAL CIVIC REVIEW (PRINT);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;B2
0028-1042;NATURWISSENSCHAFTEN;ANTROPOLOGIA / ARQUEOLOGIA                        ;B2
0031-0220;PALAONTOLOGISCHE ZEITSCHRIFT;ANTROPOLOGIA / ARQUEOLOGIA                        ;B1
0031-1057;O PAPEL (SÃO PAULO);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;B1
0031-4773;PENSÉE (PARIS);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;B1
0031-4773;LA PENSÉE (PARIS);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;B1
0032-5791;POULTRY SCIENCE (PRINT);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0033-2917;PSYCHOLOGICAL MEDICINE (PRINT);ANTROPOLOGIA / ARQUEOLOGIA                        ;B3
0033-2933;THE PSYCHOLOGICAL RECORD;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0033-3298;PUBLIC ADMINISTRATION (PRINT);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0033-3352;PAR. PUBLIC ADMINISTRATION REVIEW;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0033-5177;QUALITY AND QUANTITY;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0033-8222;RADIOCARBON;ANTROPOLOGIA / ARQUEOLOGIA                        ;A1
0034-3404;REGIONAL STUDIES;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0034-6586;THE REVIEW OF INCOME AND WEALTH;ANTROPOLOGIA / ARQUEOLOGIA                        ;B3
0034-6667;REVIEW OF PALAEOBOTANY AND PALYNOLOGY;ANTROPOLOGIA / ARQUEOLOGIA                        ;A1
0034-7140;REVISTA BRASILEIRA DE ECONOMIA (IMPRESSO);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;B1
0034-7167;REVISTA BRASILEIRA DE ENFERMAGEM (IMPRESSO);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;B1
0034-7191;REVISTA BRASILEIRA DE ESTUDOS POLÍTICOS;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;B3
0034-723X;REVISTA BRASILEIRA DE GEOGRAFIA;ANTROPOLOGIA / ARQUEOLOGIA                        ;B4
0034-723X;REVISTA BRASILEIRA DE GEOGRAFIA;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;B3
0034-7272;REVISTA BRASILEIRA DE ODONTOLOGIA;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;B4
0034-7329;REVISTA BRASILEIRA DE POLÍTICA INTERNACIONAL (IMPRESSO);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;B1
0034-7590;RAE. REVISTA DE ADMINISTRAÇÃO DE EMPRESAS;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0034-7590;RAE - REVISTA DE ADMINISTRAÇÃO DE EMPRESAS;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0034-7590;RAE (IMPRESSO);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0034-7612;REVISTA DE ADMINISTRAÇÃO PÚBLICA (IMPRESSO);ANTROPOLOGIA / ARQUEOLOGIA                        ;B4
0034-7612;REVISTA DE ADMINISTRAÇÃO PÚBLICA (IMPRESSO);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0034-7612;RAP. REVISTA DE ADMINISTRAÇÃO PÚBLICA;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0034-7612;RAP. REVISTA DE ADMINISTRAÇÃO PÚBLICA;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0034-8082;REVISTA DE EDUCACIÓN;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0034-8309;REVISTA DE HISTORIA (USP);ANTROPOLOGIA / ARQUEOLOGIA                        ;B2
0034-835X;REVISTA DE INFORMAÇÃO LEGISLATIVA;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;B4
0034-8635;REVISTA DE OCCIDENTE;ANTROPOLOGIA / ARQUEOLOGIA                        ;B2
0034-8910;REVISTA DE SAÚDE PÚBLICA (USP. IMPRESSO);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0034-8910;REVISTA DE SAÚDE PÚBLICA (IMPRESSO);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0034-9216;REVISTA DO ARQUIVO MUNICIPAL (SÃO PAULO);ANTROPOLOGIA / ARQUEOLOGIA                        ;B5
0034-9240;REVISTA DO SERVIÇO PÚBLICO;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;B2
0034-9275;REVISTA DOS TRIBUNAIS (SÃO PAULO. IMPRESSO);ANTROPOLOGIA / ARQUEOLOGIA                        ;C 
0034-9275;REVISTA DOS TRIBUNAIS (SÃO PAULO. IMPRESSO);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;C 
0034-9690;INTERAMERICAN JOURNAL OF PSYCHOLOGY;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;B1
0034-9860;REVISTA MARÍTIMA BRASILEIRA;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;B3
0036-3375;SALAMANDRA (FRANKFURT);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;B1
0036-3634;SALUD PÚBLICA DE MÉXICO (IMPRESA);ANTROPOLOGIA / ARQUEOLOGIA                        ;B1
0037-0738;SEDIMENTARY GEOLOGY;ANTROPOLOGIA / ARQUEOLOGIA                        ;B1
0037-7686;SOCIAL COMPASS (IMPRIMÉ);ANTROPOLOGIA / ARQUEOLOGIA                        ;A2
0037-9174;JOURNAL DE LA SOCIÉTÉ DES AMÉRICANISTES;ANTROPOLOGIA / ARQUEOLOGIA                        ;B1
0037-9735;SOCIETY OF HISTORICAL ARCHAEOLOGY NEWSLETTER;ANTROPOLOGIA / ARQUEOLOGIA                        ;B4
0037-9735;NEWSLETTER - SOCIETY FOR HISTORICAL ARCHAEOLOGY;ANTROPOLOGIA / ARQUEOLOGIA                        ;B4
0038-0121;SOCIO-ECONOMIC PLANNING SCIENCES;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0038-1098;SOLID STATE COMMUNICATIONS;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0038-2280;SOUTH AFRICAN JOURNAL OF ECONOMICS;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0038-2353;SOUTH AFRICAN JOURNAL OF SCIENCE;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0038-4038;SOUTHERN ECONOMIC JOURNAL;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0039-3630;STUDIES IN CONSERVATION;ANTROPOLOGIA / ARQUEOLOGIA                        ;B3
0039-7660;SYLWAN;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;B2
0039-9140;TALANTA (OXFORD);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0040-1625;TECHNOLOGICAL FORECASTING & SOCIAL CHANGE;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0040-3075;LES TEMPS MODERNES (PARIS. 1945);ANTROPOLOGIA / ARQUEOLOGIA                        ;B2
0041-1345;TRANSPLANTATION PROCEEDINGS;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0041-1655;TRANSPORTATION SCIENCE;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
